145420,Banja Luka_SR_BIH_ISD,BIH,44.783,17.217,1,156,,"This is a manually created file for MSWH. Zeros are used for values that were not present in the original TMYx data, or are not needed by the MSWH code.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Atmospheric Pressure {Pa},Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/05,01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.1,0,0,95,0,0,99122,0,0,237,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8,0,0,-2.2,0,0,97,0,0,100971,0,0,59,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9,0,0,-2.3,0,0,97,0,0,100930,0,0,116,0,0,0.3,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0,0,-2.4,0,0,97,0,0,100890,0,0,86,0,0,0.7,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2,0,0,-2.5,0,0,98,0,0,100850,0,0,290,0,0,1,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4,0,0,-2.6,0,0,98,0,0,100849,0,0,185,0,0,0.7,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,-2.8,0,0,98,0,0,100848,0,0,33,0,0,0.3,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3107,0,0,0,0,0,0,0,0,0,0,0,-2.7,0,0,-2.9,0,0,98,0,0,100846,0,0,13,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,09:00,189,1298,24,0,0,0,0,0,24,0,0,2324,0,0,0,0,0,9145,0,0,0,0,0,0,0,0,0,0,0,-1.9,0,0,-2.2,0,0,98,0,0,100862,0,0,145,0,0,0.3,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/05,10:00,355,1415,61,0,0,0,0,0,61,0,0,6008,0,0,0,0,0,11427,0,0,0,0,0,0,0,0,0,0,0,-1.2,0,0,-1.6,0,0,97,0,0,100877,0,0,353,0,0,0.7,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
